book_ID	name	start_ID	end_ID
01	GEN	01001	01050
02	EXO	02001	02040
03	LEV	03001	03027
04	NUM	04001	04036
05	DEU	05001	05034
06	JOS	06001	06024
07	JDG	07001	07021
08	RUT	08001	08004
09	1SA	09001	09031
10	2SA	10001	10024
11	1KI	11001	11022
12	2KI	12001	12025
13	1CH	13001	13029
14	2CH	14001	14036
15	EZR	15001	15010
16	NEH	16001	16013
17	EST	17001	17010
18	JOB	18001	18042
19	PSA	19001	19150
20	PRO	20001	20031
21	ECC	21001	21012
22	SNG	22001	22008
23	ISA	23001	23066
24	JER	24001	24052
25	LAM	25001	25005
26	EZK	26001	26048
27	DAN	27001	27012
28	HOS	28001	28014
29	JOL	29001	29003
30	AMO	30001	30009
31	OBA	31001	31001
32	JON	32001	32004
33	MIC	33001	33007
34	NAM	34001	34003
35	HAB	35001	35003
36	ZEP	36001	36003
37	HAG	37001	37002
38	ZEC	38001	38014
39	MAL	39001	39004
68	TOB	68001	68014
69	JDT	69001	69016
70	ESG	70001	70016
71	WIS	71001	71019
72	SIR	72001	72051
73	BAR	73001	73006
74	LJE	74006	74006
75	S3Y	75001	75001
76	SUS	76001	76001
77	BEL	77001	77001
78	1MA	78001	78016
79	2MA	79001	79015
82	1ES	82001	82009
84	MAN	84001	84001
85	PS2	85001	85001
80	3MA	80001	80007
83	2ES	83001	83016
81	4MA	81001	81018
86	ODA	86001	86042
87	PSS	87001	87018
C3	LAO	C3001	C3001
40	MAT	40001	40028
41	MRK	41001	41016
42	LUK	42001	42024
43	JHN	43001	43021
44	ACT	44001	44028
45	ROM	45001	45016
46	1CO	46001	46016
47	2CO	47001	47013
48	GAL	48001	48006
49	EPH	49001	49006
50	PHP	50001	50004
51	COL	51001	51004
52	1TH	52001	52005
53	2TH	53001	53003
54	1TI	54001	54006
55	2TI	55001	55004
56	TIT	56001	56003
57	PHM	57001	57001
58	HEB	58001	58013
59	JAS	59001	59005
60	1PE	60001	60005
61	2PE	61001	61003
62	1JN	62001	62005
63	2JN	63001	63001
64	3JN	64001	64001
65	JUD	65001	65001
66	REV	66001	66022
